Priority,Title,Slug,Link,Categories,Have,Description
11,Canon RF 35mm f/1.8 IS STM Macro,canon-rf-35mm-f-1-8,https://crsp.li/RF35f18,"Camera, Current, Desk",TRUE,"Super light weight, razor sharp, and with shallow depth of field. This is a must have lins in my opinion. Helps make things look natural but you are not too far away from the camera. And it's really good for those portraits."
40,Atomos Ninja V,atomos-ninja-v,https://crsp.li/AtomosNinjaV,"Camera, Current, Desk",TRUE,"High quality monitor with video monitoring features, ProRes recording (including RAW) and more. Added bonus: cameras with record time limits can do over 30 minutes with this recorder."
41,Atomos AtomX Cast,atomos-atomx-cast,https://crsp.li/AtomXCast,"Current, Desk",TRUE,"Live streaming with multiple cameras? The AtomX Cast combined with the Atomos Ninja V makes that possible while also recording on the SSD. It's a great package and works quite well. Upgrading your Zoom Classes, Live Streams, and more."
41,2TB SSD for the Ninja V,ssd-500gb,https://crsp.li/WesternDigitalSSD,"Camera, Current, Desk",TRUE,The Atomos Ninja V needs these for storage. Thankfully they are much cheaper than getting SD Cards.
50,Aputure MC Lights,aputure-mc,https://crsp.li/aputuremc,"Camera, Current, Desk",TRUE,Great small colorful lights to set some accents. I run two of these.
80,National Geographic Carbon Fiber Travel Tripod,national-geographic-travel-tripod,https://crsp.li/NatGeoTripod,"Camera, Current, Desk",TRUE,"The new tripod on my side. It's really incredible what a difference it makes when you can actually stand in front of your tripod for filming — and ofcourse you can also stand behind the camera without being hunched over. This tripod is light weight, it's relatively small when packed, and has a great height of over 158cm when extended all the way."
70,Oktava MK 012 Small Condenser Microphone,oktava-mk-012,https://crsp.li/OktavaMK012,"Camera, Desk, Current",TRUE,I was looking for a new microphone for my in studio work so I do not have to always hook up my Røde VideoMic NTG and then put it back onto my vlogging camera! I did tones of tests and the Oktava is the one I stuck with. It has great versatility with the different capsules and it sounds really good.
70,Røde SM4-R,rode-sm4-r,https://crsp.li/RodeSM4R,"Camera, Desk, Current",TRUE,"Oh, yea, the Oktava MK-012 needs a shock mount! It's basically mandatory. I tried a cheap one and the Røde SM4-R and the SM4-R was the clear winner in this test!"
80,150W USB-C Charging Station,usb-c-dock-150w,https://crsp.li/150WUSBCDock,"Camera, Desk, Other, Current",TRUE,"A charging station for my desk. 100W for the MacBook Charging, and another USB-C for other things, then two extra powerful USB-A charging ports. It's so important to have good, powerful, charging for your devices so you don't brick your batteries too fast."
80,Zendure SuperTank USB-C PD Portable Charger,zendure-supertank,https://crsp.li/Supertank,Sold,FALSE,"A powerbank that outputs 100W to actually charge my MacBook Pro a second time. It's impressive! But not just that, it also charges my phone, camera, and everything else that supports USB-C. I love this thing."
80,Zendure Supertank Pro - 26800mAh - 100W,zendure-supertank-pro,https://crsp.li/SupertankPro,"Camera, Other, Current",TRUE,"A powerbank that outputs 100W to actually charge my MacBook Pro a second time. It's impressive! But not just that, it also charges my phone, camera, and everything else that supports USB-C. I love this thing."
15,iPhone 14 Pro Max 256GB,iphone-14-pro-max,https://crsp.li/iphone14promax,"Camera, Travel, Current",TRUE,"As always, I am using an iPhone. Right now it's the 14 Pro Max. Absolutely crazy how good the cameras have become. Of course: the iPhone isn't a replacement for my ""real cameras"" but it's getting damn close. And the best camera is always the one you have with you!"
15,iPhone 11 Pro Max 256GB Black,iphone-11-pro-max,https://crsp.li/iphone11promax,Sold,FALSE,"As always, I am using an iPhone. Right now it's the 11 Pro max. I am actually not sure if I would get the Max again if I had the choice as I would like my phone to be a bit smaller and I usually do all the video and photo editing on a computer anyways. But then again… the Max always has the best cameras and battery power."
11,Canon RF 24-105mm f/4.0,canon-rf-24-105-f-4,https://crsp.li/RF24105F4L,"Current, Camera",TRUE,After over a decade of only shooting with prime lenes I finally decided it was time for a zoom lens and play around a little bit to see what it can offer my video making and photography. The f/4.0 is not what I would prefer but at everything else about this lens is damn impressive!
30,B+W Variable ND Filter (77mm and 82mm),b-w-variable-nd,https://www.amazon.com/s?k=b%2Bw+77mm+nd&ref=nb_sb_noss_1,"Current, Camera",TRUE,"The first ND filter I ever bought (now I use two of them) and it's a game changer for film making. It also makes life a little harder (having to remember that there is another variable to take into consideration), but the results are visibly better when done correctly. This is a lovely ND filter and especially: it has stop points so no overdriving it at the ends."
35,Zhiyun Weebill 2 Pro,zhiyun-weebill-2-pro,https://crsp.li/ZhiyunWeebill2Pro,"Current, Camera",TRUE,"Not the first gimbal I owned but certainly the best and most powerful! With the in-built display, the wireless transmission system, the strong motors, great menu structure, and small form factor it's a no brainer to bring on my shoots and travels."
70,Peak Design Capture Clip,peakdesign-capture-clip,https://crsp.li/PeakDesignCaptureClip,"Current, Camera",TRUE,I have both clips - the pro and non-pro. I have to say: for almost all use cases I would recommend getting the non-pro. The pro is just not that much better (and it's even a little heavier). But that aside: I love the Capture Clip. I can use it with all the plates I use. It's great! I have one of these mounted to one of the straps of my backpack. The second is mounted to my belt.
70,Peak Design Slide Lite,peakdesign-slide-lite,https://www.amazon.com/Peak-Design-SlideLITE-Camera-Mirrorless/dp/B015CZ6DO4/ref=sr_1_3?ie=UTF8&qid=1538941120&sr=8-3&keywords=Peak+Design+Slide+Lite%3B&tag=chspks-20,"Current, Camera",TRUE,"I love the system that PeakDesign build with these little attachment things. They are everywhere on my gear. Camera, Lens Carrier, Field Pouches. It's so versatile. Just great. The best part: on my camera I can have a strap and then detach it in seconds. Where that takes forever if you don't have a strap system like this."
70,Røde Wireless Go II,rode-wireless-go-ii,https://crsp.li/RodeWirelessGOII,"Current, Camera",TRUE,"Live streaming? On location interview recording? Or doing workouts in front of your camera? A wireless lavalier microphone set is always good to have. The Røde Wireless Go II features great sound quality, local 24bit recording, and two transmitters which send to the same receiver. It's a true allround talent and a must in my camera bag!"
70,Tentacle Track E,tentacle-track-e,https://crsp.li/TentacleTrackE,"Current, Camera",TRUE,Recording 32bit float in the field with a tiny recorder and and a lavalier? That's where the Track E shines! It's super light weight and easy to use but at the same time features great audio pre-amps and sound quality. Combined with the Sync E set these recorders are incredible. Just not very usefull when you want to do live streamd… then you'll have to look at the Wireless Go II set!
70,Tentacle Sync E,tentacle-sync-e,https://crsp.li/TentacleSyncE,"Current, Camera",TRUE,Syncronizing multiple cameras can be a pain — especially when they don't support propper timecode. Sadly most mirrorless cameras don't have that feature. But luckily the Tentacle Sync E can give you Timcode on all cameras that have an audio input! And now it's just like 4 clicks to sync all those files up in post!
80,Rode SC3 3.5mm TRRS to TRS Adapter,rode-trrs-to-trs-adaptor,https://crsp.li/rodesc3,Sold,FALSE,Adapter to also be able to record the SmartLav into a audio recorder or camera.
80,LP-E6N Dual Battery Charger (USB Type C),canon-dual-battery-charger-lp-e6n-usb-type-c,https://www.amazon.com/ENEGON-Rechargeable-Battery-Charger-Compatible/dp/B07Q1G47XQ/ref=sr_1_fkmr0_2?keywords=canon+lp-e6n+usb+type-c&qid=1563136949&s=gateway&sr=8-2-fkmr0,"Current, Camera",TRUE,"Dual charger! Always a must. I basically always leave the original charger in the box and go straight to these types to just be more versatile, especially since this one also supports USB Type C charging which is so much more common now!"
80,Canon LP-E6N Battery,canon-lp-e6n,https://www.amazon.com/Canon-9486B002-Battery-Pack-LP-E6N/dp/B00NI3CSIS/ref=sr_1_3?keywords=canon+lp-e6n&qid=1563136780&refresh=1&s=gateway&sr=8-3&tag=chspks-20,"Current, Camera",TRUE,Going for the branded batteries. Yep. I have a total of 3.
80,Quick Release Clamp,tripod-adapter-plate,https://www.amazon.com/dp/B071LDM42V/ref=psdc_3347851_t3_B00KYEO70Q?tag=chspks-20,"Current, Camera",TRUE,"I have two of these adapter mounts. One is screwed to the Gimbal / Stabilizer, the other is on the mini Manfrotto tripod. It makes switching between these so much easier."
80,Røde VC1 10' Extension Cable,rode-extension-cable,https://www.amazon.com/Rode-VC1-Stereo-Extension-VideoMic/dp/B0010CP5DY/ref=sr_1_1?ie=UTF8&qid=1538941119&sr=8-1&keywords=Rode+VC1+10+Extension+Cable%3B&tag=chspks-20,"Current, Camera",TRUE,Long cable to be able to sit in front of the camera and still use the SmartLav. Kind of defeats the purpose but this way I don't have to sync in post. Especially useful when recording courses / long video material with a lot of talking.
80,Sirui T-025X Carbon Fiber Tripod,sirui-t-025x,https://crsp.li/SiruiT025X,"Current, Camera",TRUE,This is an amazingly light tripod. And for me - traveling a lot - having a light tripod is one key thing.
80,SanDisk Ultra 128GB ,sandisk-micro-128gb,https://www.amazon.com/Sandisk-Ultra-128GB-Micro-Adapter/dp/B073JYC4XM/ref=sr_1_3?ie=UTF8&qid=1538941527&sr=8-3&keywords=SanDisk+Ultra+128GB&tag=chspks-20,"Current, Camera",TRUE,You need storage in all the devices. So now I am only using these microSD cards. Not as powerful but easier. I have one type of card that could go into all of them. I have 4 or 5 of these!
9,Canon EOS R5 C,canon-eos-r5c,https://crsp.li/CanonEOSR5C,"Current, Camera, Desk",TRUE,"This camera is absolutely incredible. The 4k up to 120fps, 8k RAW, and much more. Cinematic videos, interviews, no matter what: this camera rocks."
10,Canon EOS R,canon-eos-r,https://crsp.li/CanonEOSR,"Current, Camera, Desk",TRUE,"I've got 2 of these cameras, they have great 1080p as well as 4k (with a crop) and having 3 cameras makes it possible to have a propper 3 camera setup for interviews and more."
50,Elgato Cam Link 4K (HDMI to USB capture card),elgat-cam-link-4k,https://crsp.li/CamLink4k,"Current, Camera, Desk",TRUE,"Doing some live streaming with a propper camera? This is a great solution to do so. Works nicely, only downside is that it makes the laptop fans scream for their lifes."
80,Friction Arm,friction-arm-small,https://www.amazon.com/s?k=friction+arm&ref=nb_sb_noss,"Current, Camera, Desk",TRUE,"A helpful little tripod alternative for small things (aka microphones, and stuff). I love it."
80,Samsung T7 Portable SSD,samsung-t7,https://crsp.li/SamsungT7,"Current, Camera, Desk",TRUE,"Durable, fast, external storage for my MacBook. These drives are great! If you really need speed, I'd go for the Acasis USB 4.0 Housing + the Samsung 980 Pro NVME drive… but for ease of use: the Samsung T7 or the SanDisk Extreme Portable SSD are great."
80,Samsung T3 Portable SSD 500GB,samsung-t3,https://www.amazon.com/Samsung-T3-Portable-SSD-MU-PT500B/dp/B01AVF6UQQ/ref=sr_1_3?ie=UTF8&qid=1538941119&sr=8-3&keywords=Samsung+T3+Portable+SSD+500GB%3B&tag=chspks-20,Sold,FALSE,"This is probably the best upgrade to my gear I made in 2016. This drive is (I tested it) faster in reading/writing than my internal drive (since then I upgraded to a new MacBook Pro and that has a faster internal drive, but for expansion this is still my go to drive). I love it. I can't wait till I can afford to upgrade to the 2TB version of this."
80,ACASIS USB 4.0 M.2 NVME Housing,acasis-usb-4-housing,https://crsp.li/AcasisM2NVMEUSB4,"Current, Camera, Desk",TRUE,"As a media creator, you need loads of fast storage to edit all the 4k and 8k video files. With this housing, you can use incredibly fast NVME SSD drives!"
80,2TB Samsung 980 PRO,samsung-980-pro,https://crsp.li/Samsung980PRO,"Current, Camera, Desk",TRUE,This drive is almost overkill inside the Acasis USB 4.0 Housing. But it's the only one that I found which supports 3 GB / Second read and write. I love this for media creations.
80,Canon AC Adapter Kit ACK-E6AC,canon-continuous-power-adapter-lp-e6n,https://www.amazon.com/Canon-AC-Adapter-Kit-ACK-E6AC/dp/B001KBZ3PK/ref=sr_1_3?crid=28HSDCNWPYWVA&keywords=canon+lp-e6n+adapter&qid=1563137710&s=gateway&sprefix=canon+lp-e%2Caps%2C226&sr=8-3,"Current, Camera, Desk",TRUE,When doing long filming sessions or even live streams a power adapter for the camera is something I can not live without. So here it is.
100,Charger for AA & AAA Batteries (USB Type C),ebl-aa-battery-charger-usb-type-c,https://www.amazon.com/EBL-USB-Input-Rechargeable-Batteries-4-Counts/dp/B077XBGD7C/ref=sr_1_3?keywords=ebl+usb-c&qid=1563137470&s=gateway&sr=8-3,"Current, Camera, Podcast, Other",TRUE,"As you may have noticed, I love USB Type C things. And sometimes I need AA batteries (for the Zoom H5 for example) and this is what I charge them batteries with."
70,Peak Design Packing Cube (Small & Large),peak-design-packing-cube-large-and-small,https://www.amazon.com/Peak-Design-Packing-Cube-Medium/dp/B07GH5M6PF/ref=sr_1_fkmrnull_9?keywords=peak+design+camera+cube&qid=1557505235&s=gateway&sr=8-9-fkmrnull,"Current, Other",TRUE,"I got the large and small packing cubes as well. They work great with a lot of cloth, compress nicely, and all the materials feel more durrable than with all the other packing cubes I previously owned."
80,Nalgene Lid,nalgene-drink-lid,https://www.amazon.com/Nalgene-OTF-Bottle-Green-White/dp/B007S3PG8S?ref_=w_bl_hsx_s_sp_web_2597078011&tag=chspks-20,"Current, Other",TRUE,"I prefer this lid for the Nalgene Bottle because without it, it's really hard to drink from the big opening."
80,Nalgene Bottle,nalgene-1l-bottle,https://www.amazon.com/Nalgene-Tritan-Mouth-BPA-Free-Bottle/dp/B001NCDE8O?ref_=w_bl_hsx_s_sp_web_2597078011&tag=chspks-20,"Current, Other",TRUE,"My go to bottle for water everywhere. It's big enough to hold about a full liter, and it's durrable enough to not break. I also like the big opening to clean it propperly."
80,Angelbird CFExpress Card Reader,angelbird-cfexpress-reader,https://crsp.li/AngelbirdCFExpressReader,"Current, Camera, Desk",TRUE,With the R5 C I also had to get a CFExpress Card and this is the reader. The benefit: CFExpress Cards are super fast in the read and write department. Runs smooth.
80,2TB Angelbird CFExpress Card,angelbird-cfexpress-card,https://crsp.li/AngelbirdCFExpressCard,"Current, Camera",TRUE,"Many new cameras use CFExpress. This is one of the best CFExpress cards on the market. Price/Storage is great, performance is incredible, and they are absolutley reliable. Storage media made for creatives!"
80,LED Headlamp,headlamp,https://www.amazon.com/Energizer-Headlamp-Vision-Batteries-Included/dp/B00TI8GSE2/ref=sr_1_10?ie=UTF8&qid=1538941121&sr=8-10&keywords=LED+Headlamp%3B&tag=chspks-20,"Current, Other",TRUE,"This is a no brainer for everybody who is traveling a little more. It's super useful, wether in hostels, or when you're going down some dark allyways when arriving to your villa on Bali. Just starp it on and walk with light."
80,Anker USB Type-C 50-Port 60W,anker-usb-type-c-charging-hub,https://www.amazon.com/Anker-Charger-Premium-Delivery-PowerPort/dp/B01D8C6ULO/ref=sr_1_fkmr0_1?ie=UTF8&qid=1538941121&sr=8-1-fkmr0&keywords=Anker+USB+Type-C+50-Port+60W%3B&tag=chspks-20,"Current, Other",TRUE,This thing is awesome. Charges my all the gear. One thing to charge it all. The one downside: charging the MacBook is way slower than with the original. But it's an amazing home desk station.
90,Digestive Bitters,digestive-bitters,https://www.amazon.com/gp/product/B00314YKVC/ref=oh_aui_detailpage_o01_s00?ie=UTF8&psc=1&tag=chspks-20,"Current, Other",TRUE,I love me some digestive bitters to help my digestion function better.
90,Kindle Paperwhite,kindle-paperwhite,https://www.amazon.com/Paperwhite-High-Resolution-Display-International-Version/dp/B00QJDU3KY/ref=sr_1_4?ie=UTF8&qid=1538942201&sr=8-4&keywords=paperwhite+kindle&tag=chspks-20,"Current, Other",TRUE,Reading on the road has become increasingly important for me over the years. The Paperwhite gives me loads of books and a good reading experience.
90,Zinc Spray,zinc-spray,https://www.amazon.com/gp/product/B003EIPCDK/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1&tag=chspks-20,"Current, Other",TRUE,Tim Ferriss recommends this in some travel advice videos against sickness specifically around the mouth. Two sprays into/around the mouth and I feel better faster wherever I arrive.
100,Faber-Castell E-Motion Fountain Pen with Medium Nib (M),farber-castel-e-motion-medium-nib-fountain-pen,https://www.amazon.com/Faber-Castell-Motion-Fountain-Medium-FC148620/dp/B00CSV2OK8/ref=sr_1_3?keywords=Faber-Castell+E-Motion+Pure+Black&qid=1563137616&s=gateway&sr=8-3,"Current, Other",TRUE,"Having written most everything of the past few years on a keyboard, I am really delighted to write with a fountain pen (for the first time since middle school). This is such a different league of a pen though! I truly enjoy it."
100,Leuchtturm1917 Medium A5 Dotted Hardcover Notebook,leuchtturm1917-notebook-a5-dotted,https://www.amazon.com/Leuchtturm-Hardcover-Medium-Dotted-Notebook/dp/B01M9A8OBZ/ref=sr_1_3?crid=1UO57N8JFIWCK&keywords=leuchtturm1917+dotted&qid=1563137525&s=gateway&sprefix=leuchtturm%2Caps%2C229&sr=8-3,"Current, Other",TRUE,I've gone back to paper note taking and journailng. These are lovey and I don't want to miss them ever again.
100,Universal Travel Charger,travel-adapter,https://www.amazon.com/NEWVANGA-International-Universal-Worldwide-Charging/dp/B01FO4W5W2/ref=sr_1_1?ie=UTF8&qid=1538941121&sr=8-1&keywords=Universal+Travel+Charger%3B&tag=chspks-20,"Current, Other",TRUE,"Kind of obvious when you travel to different countries. There are ones with USB plugs built in as well which come in very handy. I also usually have a extension cord with a 4x hub on it so I can charge batteries, and run my laptop off of all that."
70,Peak Design Everyday Sling 5L,peak-design-everyday-sling-5l,https://www.amazon.com/Peak-Design-Everyday-Sling-Camera/dp/B076B2NYGC/ref=sr_1_3?keywords=peak+design+sling+5l&qid=1557505319&s=gateway&sr=8-3,"Current, Other, Camera",TRUE,"I enjoy this little everyday pack. It's a tiny bit too small for my taste and it would be great to feature a second place for a capture clip, but for everyday carry it's nice and very usable."
70,Peak Design Large Camera Cube ,peak-design-camera-cube-l,https://www.amazon.com/Peak-Design-Camera-Cube-Large/dp/B07GHBN51C/ref=sr_1_fkmrnull_4?keywords=peak+design+camera+cube&qid=1557505235&s=gateway&sr=8-4-fkmrnull,"Current, Other, Camera",TRUE,I put this into the Travel Backpack from Peak Design and it just stays there. It's a great organizational tool and the back and side openings make it very easy to access everything easily.
70,Peak Design Travel Backpack 45L,peak-design-travel-backpack-45l,https://www.amazon.com/Peak-Design-Travel-Line-Backpack/dp/B07GH4HMFR/ref=sr_1_6?keywords=peak+design+backpack&qid=1557505220&s=gateway&sr=8-6,"Current, Other, Camera",TRUE,I upgraded my previously owned Peak Design Everyday Backpack to the Travel Line version mainly because of the back opening and more room for stuff. It's a much bigger backpack but it's so much more convenient.
70,Peak Design Field Pouch,peakdesign-field-pouch,https://www.amazon.com/Peak-Design-Field-Accessory-Charcoal/dp/B017KOJZ1S/ref=sr_1_6?ie=UTF8&qid=1538941120&sr=8-6&keywords=Peak+Design+Field+Pouch%3B&tag=chspks-20,"Current, Other, Camera",TRUE,"These are great for organizing your stuff. I use the Charcoal for my everyday stuff. Batteries, Manfrotto Mini Tripod, Keys, Money, and a Pen. I also use this with the SlideLITE and it's a great little package. This is my cable and charger bag. It's great to organize your stuff this easily."
80,Anker Power Core 20100,anker-powercore-plus-26800,https://www.amazon.com/Anker-PowerCore-Portable-Capacity-PowerPort/dp/B01K6TA748/ref=sr_1_4?s=wireless&ie=UTF8&qid=1538941850&sr=1-4&keywords=Anker+PowerCore%2B+26800+PD&tag=chspks-20,"Current, Other, Camera",TRUE,I use the PowerCore litterally wherever I go. It's in my handbag and protects me against my phone ever dying.
10,"MacBook Pro 16"" M1 Max",apple-macbook-pro-m1-max,https://crsp.li/MacBookPro,"Current, Other, Desk",TRUE,"The new M1 Max MacBook Pro is absolutely incredible. The battery runtime, the efficiency, the power — the best computer I have ever owned. Your computer is the one thing tto bring it all together, and it better be fun to use!"
80,Bose Quiet Comfort 35,bose-qc-35,https://crsp.li/BoseQC35II,"Current, Other, Desk",TRUE,"Editing video, photos, coding or just any work on the computer with other people or noises around? These are golden. I love the sound. I love the noise canceling. It's incredible. Get them! These are the best for planes and in coworking spaces or coffee shops. They have awesome sound quality, fold up, and are just generally awesome."
80,Apple AirPods,apple-airpods,https://crsp.li/AirPodsPro,Sold,FALSE,"One of the best investments ever. So small, so practical, and totally worth it. The only downside is that the generation one drains the batteries too fast in calls and thus one has to switch between the two ears a little and put the other into the charging case — luckily the charging goes fast enough, so that 15 mintues of charging gives you about an hour of talking time."
80,Apple AirPods Pro 2nd Gen,apple-airpods-pro-2nd-gen,https://crsp.li/AirPodsPro2,"Current, Other, Desk",TRUE,"These are my favorite Apple headphones as of Sept. 2022! They have 6 hours of noise cancelation while listening to music and you can also pop them into the case for a charge and get up to 30 hours of music listening in total. Additionally, you have spacial audio, transparency mode and much more. They fit great and don't fall out of my ears and I'm just all around very happy with them."
80,Apple Watch Series 7 Titanium,apple-watch-series-7-titanium,https://crsp.li/AppleWatchSeries7,"Current, Other, Desk",TRUE,"I never owned an Apple Watch before but the Series 7 finally made me get one. It's a cool gadget featuring loads of health sensors, fitness and activity tracking, notifications, Siri, and more! So far, I would recommend it."
80,Roost Laptop Stand,roost-stand,https://www.amazon.com/Roost-Laptop-Stand-Adjustable-Portable/dp/B01C9KG8IG/ref=sr_1_3?ie=UTF8&qid=1538941785&sr=8-3&keywords=roost+laptop+stand&tag=chspks-20,"Current, Other, Desk",TRUE,"Whenever I am traveling or otherwise on the road working on my MacBook for a little longer, this is a life saver. It helps me situp straight and not hunch over my MacBook screen as bad. Obviously it's a great idea to combine this with the Magic Trackpad and Keybaord."
90,USB Type-C Hub,usb-type-c-hub,https://crsp.li/SaferellDock,"Current, Other, Desk",TRUE,"Another of those new MacBook lineup dongles. This one gives me Charging, USB-C, oldschool USB, 2 Individual HDMI Displays, and a card reader!"
90,Apple Magic Trackpad 2,apple-magic-trackpad-2,https://www.amazon.com/Apple-Magic-Trackpad-2-MJ2R2LL/dp/B016QO5YWC/ref=sr_1_3?ie=UTF8&qid=1538941761&sr=8-3&keywords=Apple+Magic+Trackpad+2%3B&tag=chspks-20,"Current, Other, Desk",TRUE,"I tried the Magic Mouse for some time and used it when I had my first iMac, but since I have chosen to go with the Trackpad version for multiple reasons: it does not matter what groudn I am on, and the gestures are much more powerful!"
90,USB Type-C Adapter,usb-type-c-adapter,https://www.amazon.com/nonda-Adapter-Aluminum-Indicator-Macbook/dp/B015Z7XB30/ref=ice_ac_b_dpb?s=electronics&ie=UTF8&qid=1538944457&sr=1-4&keywords=usb%2Bto%2Busb-c&tag=chspks-20&th=1,"Current, Other, Desk",TRUE,Just a little adapter to use oldschool USB devices.
90,Apple Magic Keyboard,apple-magic-keyboard,https://www.amazon.com/Apple-Magic-Keyboard-MLA22LL-A/dp/B016QO64FI/ref=sr_1_3?ie=UTF8&qid=1538941768&sr=8-3&keywords=Apple+Magic+Keyboard%3B&tag=chspks-20,Sold,FALSE,"Whenever I work on my MacBook, this keyboard is with me. Especially when I am connected to an external monitor or the MacBook is on the Roost Stand! I just love this keyboard."
90,Apple Magic Keyboard with Touch ID,apple-magic-keyboard-with-touch-id,https://crsp.li/AppleKeyboard,"Current, Other, Desk",TRUE,"I love this keyboard. I travel with it all the time and I use it when I am at home as well. It's super light weight and great to travel with. I have been using mine for 5+ years at this point and have been around the globe twice while using it in combination with my laptop travel stand and the Apple Magic Trackpad! Basically, that's my office on the go."
75,Shure BETA 58A,shure-beta-58a,https://crsp.li/shurebeta58a,"Current, Podcast",TRUE,My podcasting microphone of choice — I own three of these. It's incredibly durable and built like a tank while sounding absolutely stunning for my taste. It's also great in rejecting handling noise and thus very good for handheld work.
76,Table Top Mic Stand,podcast-table-mic-stand,https://crsp.li/TableTopMicStand,"Current, Podcast",TRUE,"Sometimes you chill on a sofa with the mic hand held… but sometimes, you just want to sit on a table and the mic should stand by it self. While traveling it's not easy to carry heavy mic stands, these come in very handy every so often."
76,XLR Cable (Nylon Braided),xlr-ultra-hd-nylon-cable,https://crsp.li/xlrcable3m,"Current, Podcast, Desk",TRUE,I love nylon braided cables so I was really happy when I found these for the XLR connection for my podcasting setup.
80,Teleprompter,leeventi-teleprompter,https://crsp.li/LeeventiTeleprompter,"Desk, Current",TRUE,"Being able to see myself while filming right in the lense? A game changer for studio work. No display ""slightly off to the side"". It really makes producing courses and the like much easier!"
80,Feelworld T7 Monitor (for Teleprompter),feelworld-t7-monitor,https://crsp.li/FeelworldT7,"Desk, Current",TRUE,"Ofcourse, for a Teleprompter you'll need a Monitor and this T7 is the best I found for a good price. It's big enough, has good resolution, and especially: it features a flip feature so you can mirror a computer monitor into the teleprompter and despite it being shown on a mirror, you actually can see everything like normal and use it as if you were using a normal computer screen!"
100,Walkolution Kybun & Ära Stehtisch,walkolution-kybun-aera,https://crsp.li/WalkolutionKybun,"Desk, Current",TRUE,Walking while working has been a huge topic for me starting in 2021 and this is an incredible manual treadmill (no electricity required). It's made out of mostly wood and extremely high quality. The standing desk is beautiful as well. I am walking tones more thanks to this and it really has helped me to be more creative as well.
40,DJI FPV System,dji-fpv-system,https://crsp.li/DJIFPV,"DreamActive, Camera",FALSE,"See DJI Air 2S… This drone gives a whole different feel in the videos you can create with it. But again, you have to check for regulations and I am waiting to get my license first."
